"organism_group","strain","collection_date","serovar","isolate","location","isolation_source","isolation_type","snp_cluster","min_same","min_diff","amr_genotypes","antigen_formula","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","resist_sim","blaEC.COMPLETE","acrF.COMPLETE","mdtM.COMPLETE","sul2.COMPLETE","blaOXA.193.COMPLETE","X50S_L22_A103V.POINT","gyrA_T86I.POINT","blaOXA.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..O...COMPLETE","aph..3....IIIa.COMPLETE","meropenem","ciprofloxacin","tetracycline","ampicillin","gentamicin","erythromycin","azithromycin","clindamycin","nalidixic acid"
"E.coli and Shigella","CVM N19EC0239",2019,NA,"PDT001049748.1","USA:NC","pork chop","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0238",2019,NA,"PDT001049749.1","USA:NC","pork chop","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","U3790",2016,NA,"PDT000838265.1","India","urine","clinical",NA,NA,NA,"aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,dfrA12=COMPLETE,dfrA17=COMPLETE,ftsI_I336IKYRI=POINT,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"India","urine",NA,"Other",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
"E.coli and Shigella","CVM N19EC1013",2019,NA,"PDT000844424.1","USA:TX","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0176",2019,NA,"PDT000844426.1","USA:SC","pork chop","environmental/other",NA,NA,NA,"blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC1011",2019,NA,"PDT000844429.1","USA:TX","pork chop (bone in)","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC1010",2019,NA,"PDT000844430.1","USA:TX","ground beef (patties)","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC1008",2019,NA,"PDT000844432.1","USA:TX","ground turkey","environmental/other",NA,NA,NA,"aadA1=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(M)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC1007",2019,NA,"PDT000844433.1","USA:TX","ground turkey","environmental/other",NA,NA,NA,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,blaHER-3=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,sul1=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1
"E.coli and Shigella","CVM N19EC1005",2019,NA,"PDT000844434.1","USA:TX","chicken wings","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=MISTRANSLATION,cyaA_S352T=POINT,mdtM=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC1004",2019,NA,"PDT000844435.1","USA:TN","pork chop (bone in)","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC1002",2019,NA,"PDT000844436.1","USA:TN","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC1001",2019,NA,"PDT000844437.1","USA:TN","ground turkey (patties)","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC1000",2019,NA,"PDT000844439.1","USA:TN","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0996",2019,NA,"PDT000844441.1","USA:TN","chicken whole - cut in lab","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0995",2019,NA,"PDT000844442.1","USA:TN","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0953",2019,NA,"PDT000844445.1","USA:KS","chicken thighs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,fosA7.5=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0493",2019,NA,"PDT000844449.1","USA:CO","chicken thighs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,parE_D475E=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0899",2019,NA,"PDT000844453.1","USA:TX","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0894",2019,NA,"PDT000844455.1","USA:TX","chicken thighs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0892",2019,NA,"PDT000844456.1","USA:TX","chicken wings","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0860",2019,NA,"PDT000844457.1","USA:SC","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0839",2019,NA,"PDT000844465.1","USA:CA","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0838",2019,NA,"PDT000844466.1","USA:CA","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0811",2019,NA,"PDT000844468.1","USA:TX","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0810",2019,NA,"PDT000844469.1","USA:TX","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(C)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0807",2019,NA,"PDT000844472.1","USA:TX","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0806",2019,NA,"PDT000844473.1","USA:TX","chicken whole - cut in lab","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,parC_S57T=POINT,tet(A)=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0767",2019,NA,"PDT000844474.1","USA:GA","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0765",2019,NA,"PDT000844475.1","USA:GA","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0763",2019,NA,"PDT000844476.1","USA:GA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0761",2019,NA,"PDT000844478.1","USA:GA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0760",2019,NA,"PDT000844479.1","USA:GA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL,blaEC=COMPLETE,blaTEM-1=COMPLETE,floR=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0748",2019,NA,"PDT000844481.1","USA:GA","chicken whole - cut in lab","environmental/other",NA,NA,NA,"acrF=PARTIAL,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=MISTRANSLATION",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0726",2019,NA,"PDT000844484.1","USA:CO","chicken - mixed parts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0706",2019,NA,"PDT000844485.1","USA:SD","pork chops","environmental/other",NA,NA,NA,"aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,cmlA1=PARTIAL_END_OF_CONTIG,mdtM=COMPLETE,sul3=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0697",2019,NA,"PDT000844486.1","USA:TX","pork chop (bone in)","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0696",2019,NA,"PDT000844487.1","USA:TX","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(C)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0695",2019,NA,"PDT000844488.1","USA:TX","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0691",2019,NA,"PDT000844492.1","USA:TX","chicken thighs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,parE_D475E=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0690",2019,NA,"PDT000844494.1","USA:TX","chicken thighs","environmental/other",NA,NA,NA,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,parE_I355T=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,sul2=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
"E.coli and Shigella","CVM N19EC0665",2019,NA,"PDT000844498.1","USA:CA","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0664",2019,NA,"PDT000844499.1","USA:CA","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0663",2019,NA,"PDT000844500.1","USA:CA","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0661",2019,NA,"PDT000844502.1","USA:CA","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0660",2019,NA,"PDT000844503.1","USA:CA","chicken whole - cut in lab","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N19EC0201",2019,NA,"PDT000844504.1","USA:OR","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N19EC0623",2019,NA,"PDT000844505.1","USA:SC","ground turkey","environmental/other",NA,NA,NA,"aac(3)-IVa=COMPLETE,aac(3)-IVa=PARTIAL_END_OF_CONTIG,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,emrD=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1
"E.coli and Shigella","CVM N19EC0622",2019,NA,"PDT000844506.1","USA:SC","ground turkey","environmental/other",NA,NA,NA,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1
