#Organism group,Strain,Source type,Collection date,Host disease,Outbreak,Host,Isolate identifiers,Serovar,Isolate,Create date,AST phenotypes,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Campylobacter jejuni","CVM N18C403",,"2018",,,,"""CVM N18C403"",""SRS4953214""",,"PDT000521830.1","2019-06-12T23:51:32Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MO","Chicken Whole - cut in lab","environmental/other","PDS000111496.14",3,5,"SAMN12035611","GCA_006359915.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","19LA07CB18C1",,"2019",,,,"""19LA07CB18C1"",""SRS5273612""",,"PDT000565049.1","2019-08-15T21:32:45Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=R","USA:LA","CB-THIGHS","environmental/other","PDS000111496.14",2,2,"SAMN12585096","GCA_010312855.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C040",,"2019",,,,"""CVM N19C040"",""SRS5288372""",,"PDT000568791.1","2019-08-21T11:41:31Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NM","Chicken Breasts","environmental/other","PDS000111496.14",1,10,"SAMN12606331","GCA_008129185.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","19TN08CB04N-C",,"2019-08-22",,,,"""19TN08CB04N-C"",""SRS5393185""",,"PDT000587245.3","2020-10-01T15:26:35Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=R","USA:TN","chicken breast","environmental/other","PDS000111496.14",5,5,"SAMN12768478","GCA_008564915.2","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C638",,"2019",,,,"""CVM N19C638"",""SRS6552292""",,"PDT000728815.2","2020-04-28T18:17:38Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=R","USA:PA","Chicken Breasts","environmental/other","PDS000111496.14",2,0,"SAMN14754931","GCA_014597395.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","19TX07CB07-C",,"2019-07",,,,"""19TX07CB07-C"",""CFSAN103529"",""SRS6858793""",,"PDT000767931.1","2020-06-17T18:16:05Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:TX","chicken leg","environmental/other","PDS000111496.14",1,5,"SAMN15299260","GCA_013684755.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","19CA11CB01-C1",,"2019-11",,,,"""19CA11CB01-C1"",""CFSAN103028"",""SRS6969281""",,"PDT000784457.1","2020-07-08T20:13:36Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=R","USA:CA","chicken leg","environmental/other","PDS000111496.14",2,2,"SAMN15377850","GCA_013505435.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C217",,"2019",,,,"""CVM N19C217"",""SRS7415224""",,"PDT000843497.1","2020-09-23T19:24:14Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CO","Chicken Whole - cut in lab","environmental/other","PDS000111496.14",4,11,"SAMN16231149","GCA_014721655.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C199",,"2019",,,,"""CVM N19C199"",""SRS7415223""",,"PDT000843498.1","2020-09-23T19:24:15Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NM","Chicken Thighs","environmental/other","PDS000111496.14",0,1,"SAMN16231148","GCA_014721605.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C198",,"2019",,,,"""CVM N19C198"",""SRS7415222""",,"PDT000843499.1","2020-09-23T19:24:15Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NM","Chicken Thighs","environmental/other","PDS000111496.14",1,4,"SAMN16231147","GCA_014721585.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C562",,"2016",,,,"""CVM N16C562"",""SRS2548001""",,"PDT000245373.2","2017-09-28T02:47:12Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CO","Chicken Thighs","environmental/other","PDS000022677.169",3,20,"SAMN07633866","GCA_004975885.1",,
"Campylobacter jejuni","CVM N17C260",,"2017",,,,"""CVM N17C260"",""SRS3530540""",,"PDT000345497.1","2018-07-12T09:59:21Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","chicken breast","environmental/other","PDS000022677.169",3,11,"SAMN09605118","GCA_005328635.1",,
"Campylobacter jejuni","CVM N17C267",,"2017",,,,"""CVM N17C267"",""SRS3530533""",,"PDT000345503.1","2018-07-12T09:59:22Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CO","Chicken Thighs","environmental/other","PDS000022677.169",2,24,"SAMN09605124","GCA_005328875.1",,
"Campylobacter jejuni","CVM N17C046",,"2017",,,,"""CVM N17C046"",""SRS3673383""",,"PDT000363515.1","2018-08-15T19:43:42Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:GA","Chicken Wings","environmental/other","PDS000022677.169",20,23,"SAMN09783078","GCA_005362125.1","gyrA_T86I=POINT",
"Campylobacter jejuni","CVM N18C299",,"2018",,,,"""CVM N18C299"",""SRS4433531""",,"PDT000473060.1","2019-03-04T15:39:50Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","chicken breast","environmental/other","PDS000022677.169",2,24,"SAMN11047820","GCA_004877305.1",,
"Campylobacter jejuni","CVM N18C003",,"2018",,,,"""CVM N18C003"",""SRS4434105""",,"PDT000473395.1","2019-03-04T19:12:11Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:IA","Chicken Legs","environmental/other","PDS000022677.169",2,11,"SAMN11047551","GCA_004882865.1",,
"Campylobacter jejuni","CVM N18C591",,"2018",,,,"""CVM N18C591"",""SRS4953273""",,"PDT000521760.1","2019-06-12T22:51:21Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CO","Chicken Thighs","environmental/other","PDS000022677.169",0,12,"SAMN12035730","GCA_006358915.1",,
"Campylobacter jejuni","CVM N19C107",,"2019",,,,"""CVM N19C107"",""SRS5288356""",,"PDT000568806.1","2019-08-21T11:41:33Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:IA","Chicken Thighs","environmental/other","PDS000022677.169",4,27,"SAMN12606361","GCA_008130445.1",,
"Campylobacter jejuni","CVM N19C209",,"2019",,,,"""CVM N19C209"",""SRS5472394""",,"PDT000599761.1","2019-10-03T20:34:41Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","Chicken Breasts","environmental/other","PDS000022677.169",0,22,"SAMN12906160","GCA_008838745.1",,
"Campylobacter jejuni","FSIS1605704",,"2016",,,,"""FSIS1605704"",""SRS1297468""",,"PDT000107192.2","2016-02-16T22:23:27Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","animal-cattle-dairy cow","environmental/other","PDS000072257.34",1,1,"SAMN04495841","GCA_005283185.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1605927",,"2016",,,,"""FSIS1605927"",""SRS1320212""",,"PDT000111633.2","2016-03-02T23:25:49Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","animal-cattle-dairy cow","environmental/other","PDS000072257.34",5,6,"SAMN04528907","GCA_005284625.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1606234",,"2016",,,,"""FSIS1606234"",""SRS1382935""",,"PDT000123795.2","2016-04-08T20:10:56Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:WA","animal-cattle-dairy cow","environmental/other","PDS000072257.34",6,5,"SAMN04625679","GCA_005289145.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1606592",,"2016",,,,"""FSIS1606592"",""SRS1446718""",,"PDT000131158.2","2016-05-19T19:13:55Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:UT","animal-cattle-dairy cow","environmental/other","PDS000072257.34",7,5,"SAMN05049809","GCA_005291005.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1607150",,"2016",,,,"""FSIS1607150"",""SRS1598349""",,"PDT000143018.2","2016-08-03T15:19:53Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","animal-cattle-dairy cow","environmental/other","PDS000072257.34",9,10,"SAMN05505604","GCA_005297285.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","CVM N17C007",,"2017",,,,"""CVM N17C007"",""SRS3530481""",,"PDT000345549.1","2018-07-12T09:59:28Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","chicken breast","environmental/other","PDS000072257.34",13,12,"SAMN09604893","GCA_005330135.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","CVM N16C053",,"2016",,,,"""CVM N16C053"",""SRS2547505""",,"PDT000244836.2","2017-09-28T00:49:21Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:LA","chicken breast","environmental/other","PDS000010659.189",11,11,"SAMN07633369","GCA_005013295.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C174",,"2016",,,,"""CVM N16C174"",""SRS2547623""",,"PDT000244954.2","2017-09-28T00:49:42Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","Chicken Wings","environmental/other","PDS000010659.189",12,10,"SAMN07633489","GCA_005209535.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N16C425",,"2016",,,,"""CVM N16C425"",""SRS2547870""",,"PDT000245243.2","2017-09-28T02:46:35Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","Chicken Wings","environmental/other","PDS000010659.189",7,10,"SAMN07633736","GCA_005023875.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C479",,"2017",,,,"""CVM N17C479"",""SRS3530673""",,"PDT000345364.1","2018-07-12T09:59:01Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:IA","Chicken Legs","environmental/other","PDS000010659.189",2,4,"SAMN09605210","GCA_005326545.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C786",,"2017",,,,"""CVM N17C786"",""SRS3673257""",,"PDT000363298.1","2018-08-15T19:43:06Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CO","Chicken Thighs","environmental/other","PDS000010659.189",0,3,"SAMN09783368","GCA_005359205.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C125",,"2018",,,,"""CVM N18C125"",""SRS4433449""",,"PDT000472931.1","2019-03-04T15:39:29Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CO","ground turkey","environmental/other","PDS000010659.189",0,3,"SAMN11047664","GCA_004873245.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C282",,"2018",,,,"""CVM N18C282"",""SRS4433521""",,"PDT000473070.1","2019-03-04T15:39:52Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MN","chicken breast","environmental/other","PDS000010659.189",7,9,"SAMN11047807","GCA_004876665.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C340",,"2018",,,,"""CVM N18C340"",""SRS4433491""",,"PDT000473100.1","2019-03-04T15:39:58Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","chicken breast","environmental/other","PDS000010659.189",9,7,"SAMN11047860","GCA_004877905.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C343",,"2018",,,,"""CVM N18C343"",""SRS4433455""",,"PDT000473136.1","2019-03-04T15:40:06Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","chicken breast","environmental/other","PDS000010659.189",9,10,"SAMN11047863","GCA_004879725.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C452",,"2018",,,,"""CVM N18C452"",""SRS4433641""",,"PDT000473172.1","2019-03-04T15:40:14Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:TX","chicken breast","environmental/other","PDS000010659.189",14,9,"SAMN11047960","GCA_004879225.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C411",,"2018",,,,"""CVM N18C411"",""SRS4433598""",,"PDT000473215.1","2019-03-04T15:40:23Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:IA","Chicken Wings","environmental/other","PDS000010659.189",12,14,"SAMN11047923","GCA_004879345.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C096",,"2018",,,,"""CVM N18C096"",""SRS4434083""",,"PDT000473416.1","2019-03-04T19:12:15Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TN","chicken breast","environmental/other","PDS000010659.189",1,4,"SAMN11047637","GCA_004883225.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C593",,"2018",,,,"""CVM N18C593"",""SRS4953272""",,"PDT000521762.1","2019-06-12T22:51:21Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CO","Chicken Legs","environmental/other","PDS000010659.189",4,6,"SAMN12035732","GCA_006358895.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N19C109",,"2019",,,,"""CVM N19C109"",""SRS5288362""",,"PDT000568800.2","2021-11-16T23:36:26Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:IA","Chicken Wings","environmental/other","PDS000010659.189",3,4,"SAMN12606363","GCA_020943265.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","19NM09CB14-C",,"2019-09-13",,,,"""19NM09CB14-C"",""SRS5615298""",,"PDT000624882.1","2019-11-07T22:32:04Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=R","USA:NM","chicken","environmental/other","PDS000010659.189",5,11,"SAMN13222682","GCA_010331305.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","19MO04CB09-C1",,"2019-04-01",,,,"""19MO04CB09-C1"",""SRS5784893""",,"PDT000641965.2","2021-10-09T21:22:44Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","chicken breast","environmental/other","PDS000010659.189",0,3,"SAMN12088912","GCA_020411145.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N19C554",,"2019",,,,"""CVM N19C554"",""SRS7415248""",,"PDT000843473.1","2020-09-23T19:24:02Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:CO","Chicken Breasts","environmental/other","PDS000010659.189",2,5,"SAMN16231171","GCA_014722025.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","FSIS1605607",,"2016",,,,"""FSIS1605607"",""SRS1272399""",,"PDT000104926.2","2016-02-03T06:25:30Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:TX","animal-cattle-steer","environmental/other","PDS000090286.30",0,0,"SAMN04452152","GCA_005282305.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1605798",,"2016",,,,"""FSIS1605798"",""SRS1307309""",,"PDT000108171.2","2016-02-23T15:26:08Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:PA","animal-cattle-dairy cow","environmental/other","PDS000090286.30",9,9,"SAMN04508247","GCA_005283325.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1605711",,"2016",,,,"""FSIS1605711"",""SRS1308457""",,"PDT000110604.2","2016-02-24T22:25:19Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NJ","animal-cattle-dairy cow","environmental/other","PDS000090286.30",0,0,"SAMN04514637","GCA_005284125.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1605991",,"2016",,,,"""FSIS1605991"",""SRS1332701""",,"PDT000112928.2","2016-03-10T03:26:16Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MI","animal-cattle-steer","environmental/other","PDS000090286.30",0,0,"SAMN04543693","GCA_005286645.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606242",,"2016",,,,"""FSIS1606242"",""SRS1382882""",,"PDT000123785.2","2016-04-08T20:10:56Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:IA","animal-cattle-steer","environmental/other","PDS000090286.30",3,3,"SAMN04625687","GCA_005288885.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606253",,"2016",,,,"""FSIS1606253"",""SRS1382899""",,"PDT000123790.2","2016-04-08T20:10:56Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:PA","animal-cattle-dairy cow","environmental/other","PDS000090286.30",0,0,"SAMN04625698","GCA_005288125.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606540",,"2016",,,,"""FSIS1606540"",""SRS1446050""",,"PDT000131052.2","2016-05-19T02:15:10Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:PA","animal-cattle-dairy cow","environmental/other","PDS000090286.30",6,6,"SAMN05013886","GCA_005290705.1","50S_L22_A103V=POINT,blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1606584",,"2016",,,,"""FSIS1606584"",""SRS1446683""",,"PDT000131133.2","2016-05-19T19:13:55Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:KS","animal-cattle-heifer","environmental/other","PDS000090286.30",9,9,"SAMN05049802","GCA_005288325.1","blaOXA-193=COMPLETE,gyrA_T86I=POINT",
