"organism_group","strain","collection_date","isolate","location","isolation_type","snp_cluster","min_same","min_diff","amr_genotypes","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
"Salmonella enterica","WAPHL_SAL-A00583",2005,"PDT000040298.4","USA:CA","environmental/other","PDS000032080.19",20,36,"mdsA=COMPLETE,mdsB=COMPLETE","Senftenberg","Other","USA","turkey",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1606212",2016,"PDT000123490.2","USA:LA","environmental/other","PDS000032080.19",10,0,"mdsA=COMPLETE,mdsB=COMPLETE","Senftenberg","Other","USA","chicken",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1606188",2016,"PDT000125881.2","USA:MI","environmental/other","PDS000032080.19",5,37,"mdsA=COMPLETE,mdsB=COMPLETE","Senftenberg","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0728",2019,"PDT000599719.1","USA:CA","environmental/other","PDS000032525.25",14,37,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Kentucky","Kentucky","USA","chicken",0,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
"Salmonella enterica","CVM N42498",2012,"PDT000134998.2","USA:NY","environmental/other","PDS000026615.19",18,10,"mdsA=COMPLETE,mdsB=COMPLETE","Gaminara","Other","USA","chicken",0,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N42501",2012,"PDT000135000.2","USA:NY","environmental/other","PDS000026615.19",18,8,"mdsA=COMPLETE,mdsB=COMPLETE","Gaminara","Other","USA","turkey",0,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","WAPHL-SAL-A00303",2002,"PDT000024347.3","USA:GA","environmental/other","PDS000029747.8",9,19,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","Heidelberg","Other","USA","chicken",0,"4:r:1,2",0,"1","1","0","1","0","1","1","0","0","1","1","1","0","0","1","1"
"Salmonella enterica","AZ-TG74764",2005,"PDT000039414.4","USA:MN","environmental/other","PDS000029747.8",9,9,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","Heidelberg","Heidelberg","USA","chicken",0,"4:r:1,2",0,"1","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1"
"Salmonella enterica","WAPHL_SAL-A00752",2006,"PDT000060747.3","USA:MN","environmental/other","PDS000029747.8",1,5,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG","Heidelberg","Heidelberg","USA","chicken",2,"4:r:1,2",0,"1","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1"
"Salmonella enterica","FL-NRM286",2006,"PDT000067474.3","USA:GA","environmental/other","PDS000029747.8",2,2,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Heidelberg","Heidelberg","USA","chicken",2,"4:r:1,2",0,"1","1","0","0","0","0","1","0","0","1","1","0","1","0","1","1"
"Salmonella enterica","FL-NRM284",2006,"PDT000067477.3","USA:GA","environmental/other","PDS000029747.8",2,2,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG","Heidelberg","Heidelberg","USA","chicken",2,"4:r:1,2",0,"1","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1"
"Salmonella enterica","FL-NRM285",2006,"PDT000070007.3","USA:GA","environmental/other","PDS000029747.8",8,8,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","I -:r:1,2","Heidelberg","USA","chicken",0,"Other",0,"1","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1"
"Salmonella enterica","CVM N43828",2013,"PDT000077917.1","USA: MD","environmental/other","PDS000029747.8",17,27,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Heidelberg","Heidelberg","USA","chicken",0,"4:r:1,2",0,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","WAPHL_SAL-A00880",2006,"PDT000085073.3","USA:TN","environmental/other","PDS000029747.8",2,2,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","Heidelberg","Heidelberg","USA","chicken",2,"4:r:1,2",0,"1","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1"
"Salmonella enterica","CVM N35517",2011,"PDT000135275.2","USA:PA","environmental/other","PDS000029747.8",5,39,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","Heidelberg","Other","USA","chicken",1,"4:r:1,2",0,"1","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1"
"Salmonella enterica","CVM N16S098",2016,"PDT001128272.2","USA:PA","environmental/other","PDS000029747.8",6,10,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","Heidelberg","Heidelberg","USA","chicken",1,"4:r:1,2",0,"1","1","0","1","0","1","1","1","0","1","1","1","0","0","0","0"
"Salmonella enterica","CVM N56561",2015,"PDT000121168.2","USA:GA","environmental/other","PDS000029525.24",29,70,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",0,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N58009",2015,"PDT000121216.2","USA:NM","environmental/other","PDS000029525.24",20,49,"aac(3)-IId=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",0,"8:i:z6",0,"1","1","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"Salmonella enterica","CVM N17S1400",2017,"PDT000359474.1","USA:NM","environmental/other","PDS000029525.24",5,30,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N17S1341",2017,"PDT000385550.1","USA:LA","environmental/other","PDS000029525.24",4,33,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","other/unspecified",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N17S611",2017,"PDT000385676.1","USA:KS","environmental/other","PDS000029525.24",4,33,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","19LA03CB40S1",2019,"PDT000518571.1","USA:LA","environmental/other","PDS000029525.24",2,35,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","(Missing)","USA","other/unspecified",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N18S1906",2018,"PDT000550531.1","USA:NM","environmental/other","PDS000029525.24",7,36,"mdsA=COMPLETE,mdsB=COMPLETE","I -:-:-","Kentucky","USA","chicken",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N18S1645",2018,"PDT000565653.1","USA:NM","environmental/other","PDS000029525.24",5,34,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0413",2019,"PDT000594061.1","USA:TX","environmental/other","PDS000029525.24",4,39,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0276",2019,"PDT000644755.1","USA:KS","environmental/other","PDS000029525.24",1,40,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0705",2019,"PDT000644811.1","USA:TX","environmental/other","PDS000029525.24",7,39,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Infantis","USA","chicken",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S1742",2019,"PDT000728701.1","USA:TX","environmental/other","PDS000029525.24",7,40,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0812",2019,"PDT000863271.1","USA:NM","environmental/other","PDS000029525.24",13,24,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",0,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","NY-N14612",2007,"PDT000068697.4","USA:CA","environmental/other","PDS000004194.60",20,49,"fosA7=PARTIAL,mdsA=COMPLETE,mdsB=COMPLETE","Montevideo","Other","USA","beef",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1606073",2016,"PDT000123207.2","USA:TX","environmental/other","PDS000004194.60",6,9,"fosA7=PARTIAL,mdsA=COMPLETE,mdsB=COMPLETE","Montevideo","Other","USA","beef",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1607180",2016,"PDT000141059.2","USA:TX","environmental/other","PDS000004194.60",5,58,"fosA7=PARTIAL,mdsA=COMPLETE,mdsB=COMPLETE","Montevideo","Other","USA","beef",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1605569",2016,"PDT000108231.2","USA:MO","environmental/other","PDS000030441.28",0,42,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","London","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","FSIS1606277",2016,"PDT000125830.2","USA:TN","environmental/other","PDS000030441.28",0,42,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","London","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","FSIS1606408",2016,"PDT000128766.2","USA:NC","environmental/other","PDS000030441.28",3,39,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","London","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N17S110",2017,"PDT000359552.1","USA:LA","environmental/other","PDS000030441.28",0,37,"mdsA=COMPLETE,mdsB=COMPLETE","London","Other","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N17S109",2017,"PDT000359557.1","USA:LA","environmental/other","PDS000030441.28",0,37,"blaHER=PARTIAL_END_OF_CONTIG,mdsA=COMPLETE,mdsB=COMPLETE","London","Other","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"Salmonella enterica","CVM N18S0535",2018,"PDT000518402.3","USA:LA","environmental/other","PDS000030441.28",0,15,"aadA2=COMPLETE,dfrA12=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","London","Other","USA","turkey",1,"Other",0,"1","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1"
"Salmonella enterica","CVM N18S0536",2018,"PDT000518403.3","USA:LA","environmental/other","PDS000030441.28",0,15,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","London","Other","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N19S0011",2019,"PDT000565777.1","USA:IA","environmental/other","PDS000030441.28",0,31,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","London","Other","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N17S367",2017,"PDT001128285.2","USA:SC","environmental/other","PDS000030441.28",3,28,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,blaHER-3=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","London","Other","USA","turkey",1,"Other",0,"1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0"
"Salmonella enterica","CVM N17S347",2017,"PDT001147722.1","USA:SC","environmental/other","PDS000030441.28",5,31,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","London","Other","USA","turkey",1,"Other",0,"1","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1"
"Salmonella enterica","FSIS1605981",2016,"PDT000120090.2","USA:PA","environmental/other","PDS000005977.48",1,0,"mdsA=COMPLETE,mdsB=COMPLETE","Manhattan","Other","USA","pork",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","AZ-TG74836",2005,"PDT000038703.4","USA:NM","environmental/other","PDS000004040.36",7,10,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,mcr-9.1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Schwarzengrund","Schwarzengrund","USA","turkey",1,"Other",0,"1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0"
"Salmonella enterica","CVM N41900",2012,"PDT000100246.1","USA: CT","environmental/other","PDS000004040.36",4,12,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mcr-9.1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Schwarzengrund","Schwarzengrund","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
"Salmonella enterica","WAPHL_SAL-A00784",2006,"PDT000110819.3","USA:MN","environmental/other","PDS000004040.36",5,5,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mcr-9.1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Schwarzengrund","Schwarzengrund","USA","turkey",2,"Other",0,"1","1","0","0","0","0","0","0","0","1","1","1","0","1","1","1"
"Salmonella enterica","CVM N41750",2012,"PDT000134915.4","USA:NY","environmental/other","PDS000004040.36",4,10,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mcr-9.1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Schwarzengrund","Schwarzengrund","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
"Salmonella enterica","WAPHL-SAL-A00316",2002,"PDT000024360.3","USA:CT","environmental/other","PDS000029323.9",9,33,"mdsA=COMPLETE,mdsB=COMPLETE","Muenster","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"Salmonella enterica","CVM-N15740",2007,"PDT000085163.2","USA:CA","environmental/other","PDS000029323.9",9,38,"mdsA=COMPLETE,mdsB=COMPLETE","Muenster","Other","USA","beef",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","19CO09CB34-S1",2019,"PDT000627281.1","USA:CO","environmental/other","PDS000027990.20",4,23,"mdsA=COMPLETE,mdsB=COMPLETE","Berta","Other","USA","chicken",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","19MO08CB22-S1",2019,"PDT000586478.1","USA:MO","environmental/other","PDS000027914.47",17,3,"blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium","USA","chicken",1,"4:i:1,2",0,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
"Salmonella enterica","CVM N18S1516",2018,"PDT000565664.1","USA:MO","environmental/other","PDS000032523.41",10,12,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Kentucky","Kentucky","USA","chicken",0,"8:i:z6",0,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
"Salmonella enterica","CVM N57494F",2014,"PDT000121416.2","USA:MS","environmental/other","PDS000001384.30",5,6,"mdsA=COMPLETE,mdsB=COMPLETE,tet(C)=COMPLETE","Adelaide","Other","USA","pork",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"Salmonella enterica","2015K-0028",2014,"PDT000161331.2","USA","clinical","PDS000002234.38",15,30,"aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,floR=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(M)=COMPLETE","Stanley","Other","USA","stool",0,"Other",0,"1","1","1","0","1","1","0","0","1","0","0","0","0","1","0","0"
"Salmonella enterica","CVM N57076F",2014,"PDT000121291.2","USA:TN","environmental/other","PDS000006037.32",3,13,"mdsA=COMPLETE,mdsB=COMPLETE,qnrB19=COMPLETE","Muenchen","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"Salmonella enterica","CVM N16S158",2016,"PDT000269282.2","USA:GA","environmental/other","PDS000032461.17",1,11,"mdsA=COMPLETE,mdsB=COMPLETE","Uganda","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N17S1499",2017,"PDT000359487.1","USA:GA","environmental/other","PDS000032533.30",3,20,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N17S491",2017,"PDT000359579.1","USA:GA","environmental/other","PDS000032533.30",4,22,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N57193F",2014,"PDT000121323.2","USA:MI","environmental/other","PDS000026633.20",8,8,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","I 4,[5],12:i:-","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N57359F",2014,"PDT000121377.2","USA:IL","environmental/other","PDS000026633.20",6,6,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","I 4,[5],12:i:-","Other","USA","pork",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","FSIS1606642",2016,"PDT000130522.2","USA:KY","environmental/other","PDS000026633.20",0,7,"mdsA=COMPLETE,mdsB=COMPLETE","I -:-:-","Other","USA","pork",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"Salmonella enterica","FSIS1606634",2016,"PDT000131218.2","USA:KY","environmental/other","PDS000026633.20",0,7,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","I 4,[5],12:i:-","Other","USA","pork",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","FSIS1606873",2016,"PDT000135408.3","USA:KY","environmental/other","PDS000026633.20",4,11,"mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","I 4,[5],12:i:-","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","FSIS1606975",2016,"PDT000137297.2","USA:MN","environmental/other","PDS000026633.20",5,5,"mdsA=COMPLETE,mdsB=COMPLETE","I 4,[5],12:i:-","Other","USA","pork",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","WAPHL-SAL-A00242",2002,"PDT000003850.3","USA:TN","environmental/other","PDS000026671.7",0,28,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Bredeney","Other","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","WAPHL-SAL-A00244",2002,"PDT000003852.3","USA:TN","environmental/other","PDS000026671.7",0,28,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Bredeney","Other","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","NY-32502",2003,"PDT000047577.3","USA:GA","environmental/other","PDS000026671.7",1,34,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","Bredeney","Other","USA","turkey",1,"Other",0,"1","1","0","1","1","1","0","0","0","1","0","0","1","0","1","0"
